run_ts,timeframe,days,rsi_period,symbol,variant,rsi_buy,rsi_sell,trend_ma,vol_mult,trail_pct,htf_ma,htf_timeframe,trades,win_rate,return_pct,buyhold_pct
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,RSI 50 cross,50.0,50.0,0,0,0,0,,759,25.69,18.04,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band 55/45,55,45,0,0,0,0,,298,35.23,19.47,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,RSI 50 + MA200,50.0,50.0,200,0,0,0,,469,27.51,16.04,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,RSI 50 + vol x1.5,50.0,50.0,0,1.5,0,0,,284,27.82,9.48,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band + vol x1.5,55,45,0,1.5,0,0,,195,36.41,10.09,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band + vol + MA200,55,45,200,1.5,0,0,,142,42.25,11.14,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,RSI 50 + trail 8%,50.0,50.0,0,0,8,0,,759,25.69,18.04,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band + trail 8%,55,45,0,0,8,0,,298,35.23,19.47,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band + 1h MA50,55,45,0,0,0,50,1Hour,195,36.92,6.96,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band + MA200 + 1h MA50,55,45,200,0,0,50,1Hour,195,36.92,6.96,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,QQQ,Band+vol+MA200+1h MA50,55,45,200,1.5,0,50,1Hour,132,40.15,5.31,31.43
2026-07-11T06:30:40+00:00,15Min,365,14,GLD,RSI 50 cross,50.0,50.0,0,0,0,0,,823,22.24,23.0,22.81
2026-07-11T06:30:40+00:00,15Min,365,14,GLD,Band 55/45,55,45,0,0,0,0,,279,35.13,33.36,22.81
2026-07-11T06:30:40+00:00,15Min,365,14,GLD,RSI 50 + MA200,50.0,50.0,200,0,0,0,,438,21.46,6.04,22.81
2026-07-11T06:30:40+00:00,15Min,365,14,GLD,RSI 50 + vol x1.5,50.0,50.0,0,1.5,0,0,,205,29.27,13.97,22.81
